risk_segment,customer_count,MonthlyCharges,churn_probability,TotalCharges,potential_revenue_loss,intervention_cost,expected_roi
Low Risk,179,60.27206703910615,0.16499498,476252.35,21360.976718580725,8950,0.9546805237354515
Medium Risk,3953,65.7274475082216,0.3689055,12251665.15,1150191.0253819227,197650,2.327732912485551
High Risk,2899,63.876595377716455,0.59883225,3327922.15,1330688.496385932,144950,3.6721310697093674
Critical,12,27.420833333333334,0.8103681,329.05,3199.8195612788204,600,2.133213040852547
